CardID,CardNumber,CardTypeID,InitialAmount,ActivationDate,ExpiryDate,PurchasedByUserID,IsActive,IsBlocked
1000,LTGC1000,2,100,2025-04-15,2025-12-31,11,True,False
1001,LTGC1001,4,200,2025-06-10,2025-12-31,9,True,False
1002,LTGC1002,2,150,2025-04-28,2025-12-31,61,True,False
1003,LTGC1003,3,100,2025-05-22,2025-12-31,78,True,True
1004,LTGC1004,2,100,2025-02-25,2025-12-31,97,True,False
1005,LTGC1005,3,75,2025-06-10,2025-12-31,86,True,False
1006,LTGC1006,4,100,2025-03-03,2025-12-31,58,True,False
1007,LTGC1007,2,25,2025-05-26,2025-12-31,9,True,False
1008,LTGC1008,1,100,2025-06-09,2025-12-31,71,True,False
1009,LTGC1009,5,25,2025-05-09,2025-12-31,1,True,False
1010,LTGC1010,1,25,2025-06-15,2025-12-31,9,True,False
1011,LTGC1011,3,10,2025-01-29,2025-12-31,66,True,False
1012,LTGC1012,3,150,2025-04-26,2025-12-31,63,True,False
1013,LTGC1013,5,25,2025-04-10,2025-12-31,93,True,True
1014,LTGC1014,2,200,2025-04-26,2025-12-31,61,True,True
1015,LTGC1015,2,10,2025-05-30,2025-12-31,13,True,True
1016,LTGC1016,3,75,2025-03-25,2025-12-31,53,True,True
1017,LTGC1017,1,150,2025-01-29,2025-12-31,84,True,False
1018,LTGC1018,1,75,2025-05-03,2025-12-31,94,True,False
1019,LTGC1019,1,25,2025-02-04,2025-12-31,25,True,False
1020,LTGC1020,5,75,2025-01-25,2025-12-31,18,True,True
1021,LTGC1021,2,50,2025-04-30,2025-12-31,60,True,False
1022,LTGC1022,1,75,2025-04-22,2025-12-31,71,True,False
1023,LTGC1023,1,150,2025-02-22,2025-12-31,70,True,False
1024,LTGC1024,1,200,2025-05-05,2025-12-31,31,True,False
1025,LTGC1025,4,75,2025-04-28,2025-12-31,62,True,False
1026,LTGC1026,4,10,2025-02-12,2025-12-31,22,True,True
1027,LTGC1027,1,75,2025-02-14,2025-12-31,34,True,True
1028,LTGC1028,3,75,2025-03-18,2025-12-31,90,True,True
1029,LTGC1029,2,25,2025-04-25,2025-12-31,38,True,False
1030,LTGC1030,1,100,2025-04-09,2025-12-31,95,True,False
1031,LTGC1031,3,10,2025-02-05,2025-12-31,7,True,True
1032,LTGC1032,5,200,2025-05-26,2025-12-31,68,True,False
1033,LTGC1033,1,100,2025-02-22,2025-12-31,11,True,False
1034,LTGC1034,1,100,2025-06-02,2025-12-31,9,True,False
1035,LTGC1035,4,10,2025-05-07,2025-12-31,73,True,False
1036,LTGC1036,5,100,2025-04-18,2025-12-31,6,True,False
1037,LTGC1037,4,150,2025-01-31,2025-12-31,75,True,False
1038,LTGC1038,3,25,2025-04-23,2025-12-31,86,True,False
1039,LTGC1039,2,50,2025-04-10,2025-12-31,51,True,False
1040,LTGC1040,3,75,2025-01-24,2025-12-31,41,True,False
1041,LTGC1041,1,75,2025-04-12,2025-12-31,80,True,False
1042,LTGC1042,1,100,2025-02-08,2025-12-31,28,True,False
1043,LTGC1043,2,50,2025-04-23,2025-12-31,9,True,False
