PromotionID,Title,StartDate,EndDate,BonusPercent
1,Cross-group heuristic neural-net,2025-04-25,2025-12-31,5
2,Right-sized radical toolset,2025-05-17,2025-12-31,20
3,Networked 24/7 frame,2025-05-26,2025-12-31,20
4,Networked zero-defect artificial intelligence,2025-06-09,2025-12-31,5
5,Fully-configurable object-oriented model,2025-05-02,2025-12-31,20
6,Synergized homogeneous concept,2025-04-29,2025-12-31,15
7,Future-proofed exuding flexibility,2025-06-02,2025-12-31,15
8,Digitized asymmetric concept,2025-05-28,2025-12-31,5
9,Grass-roots intangible framework,2025-06-02,2025-12-31,15
10,Compatible high-level extranet,2025-05-09,2025-12-31,5
11,Up-sized responsive methodology,2025-06-12,2025-12-31,15
12,Seamless dedicated knowledgebase,2025-04-26,2025-12-31,10
